# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,PropGeom,0,ENIUPMQTWX,0,0,1,6.123233995736766036e-17, 0.000000000000000000e+00, -1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 6.123233995736766036e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,65,17
# x,y,z,u,w
-2.377787741246005851e-02, 8.345685937499995599e-02, 3.235203010689613121e-03, 1.015625000000000000e+00, 2.095955830069344827e+00
-1.918956862056122800e-02, 8.345685937499996987e-02, 4.277824697988749647e-03, 1.015625000000000000e+00, 2.276535875536843889e+00
-1.112737733744093710e-02, 8.345685937499995599e-02, 4.223849141997369598e-03, 1.015625000000000000e+00, 2.584161237591246607e+00
-2.654034965974133033e-04, 8.345685937499995599e-02, 3.355058067566344185e-03, 1.015625000000000000e+00, 3.000000000000000000e+00
1.043885993513151388e-02, 8.345685937499995599e-02, 1.305459053070013795e-03, 1.015625000000000000e+00, 3.415838762408752949e+00
1.833131559625999704e-02, 8.345685937499996987e-02, -3.492705048285469076e-04, 1.015625000000000000e+00, 3.723464124463156111e+00
2.299759552775080748e-02, 8.345685937499996987e-02, -1.146759049880769019e-03, 1.015625000000000000e+00, 3.904044169930655173e+00
2.538040455391624151e-02, 8.345685937499995599e-02, -1.536458010677123343e-03, 1.015625000000000000e+00, 4.000000000000000000e+00
2.519832708366545604e-02, 8.576071875000000622e-02, -1.485402499737234917e-03, 1.031250000000000000e+00, 0.000000000000000000e+00
2.284461524587320935e-02, 8.576071875000000622e-02, -1.653324467793571310e-03, 1.031250000000000000e+00, 9.595583006934514658e-02
1.822089039207612157e-02, 8.576071875000000622e-02, -1.758955737727750396e-03, 1.031250000000000000e+00, 2.765358755368439447e-01
1.034248046090827100e-02, 8.576071875000000622e-02, -1.710451899593861194e-03, 1.031250000000000000e+00, 5.841612375912467181e-01
-3.048451729813279236e-04, 8.576071875000000622e-02, -1.466000627631421083e-03, 1.031250000000000000e+00, 1.000000000000000000e+00
-1.092949984854734574e-02, 8.576071875000000622e-02, -7.352852210879786722e-04, 1.031250000000000000e+00, 1.415838762408753171e+00
-1.879136212861328217e-02, 8.576071875000002009e-02, -2.310801033911711027e-04, 1.031250000000000000e+00, 1.723464124463156111e+00
-2.338704743657937790e-02, 8.576071875000000622e-02, 2.119238179410692425e-04, 1.031250000000000000e+00, 1.904044169930654951e+00
-2.519832708366545604e-02, 8.576071875000000622e-02, 1.485402499737234917e-03, 1.031250000000000000e+00, 2.000000000000000000e+00
-2.361011838516409098e-02, 8.576071875000000622e-02, 3.174315847915915902e-03, 1.031250000000000000e+00, 2.095955830069344827e+00
-1.905680088266244188e-02, 8.576071875000000622e-02, 4.216568540102877752e-03, 1.031250000000000000e+00, 2.276535875536843889e+00
-1.105312954845245541e-02, 8.576071875000000622e-02, 4.175655286598391192e-03, 1.031250000000000000e+00, 2.584161237591246607e+00
