x	y
0.227	-0.976
0.229	-0.679
0.232	-0.474
0.236	-0.655
0.242	-0.655
0.247	-0.496
0.254	-0.505
0.259	-0.513
0.266	-0.524
0.274	-0.390
0.279	-0.031
0.284	-0.541
0.290	-0.838
0.296	-0.766
0.302	-0.409
0.307	-0.295
0.316	-0.764
0.321	-0.707
0.328	-0.614
0.334	-0.624
0.340	-0.745
0.346	-0.809
0.352	-0.677
0.358	-0.608
0.364	-0.605
0.369	-0.508
0.376	-0.646
0.382	-0.505
0.388	-0.343
0.394	-0.376
0.399	-0.383
0.405	-0.057
0.411	-0.066
0.418	-0.049
0.425	-0.086
0.431	-0.081
0.437	0.005
0.443	0.060
0.449	0.048
0.455	0.039
0.462	0.032
0.468	0.023
0.474	0.177
0.482	0.210
0.489	0.480
0.495	0.478
0.501	0.470
0.506	0.462
0.512	0.457
0.518	0.492
0.525	0.606
0.531	0.473
0.536	0.588
0.542	0.580
0.548	0.739
0.556	0.895
0.562	0.886
0.568	0.877
0.577	0.702
0.580	0.692
0.582	0.538
0.585	0.349
0.588	0.205
0.590	0.006
0.592	-0.291
0.596	-0.254
0.597	0.034
0.597	0.457
0.598	0.916
0.599	1.147
0.600	1.750
0.600	1.920
0.600	2.423
0.600	2.590
0.601	3.091
0.602	3.259
0.602	4.115
0.602	3.761
0.602	4.599
0.603	6.610
0.603	5.939
0.603	5.268
0.603	5.268
0.603	5.939
0.604	6.945
0.604	7.280
0.604	7.615
0.604	7.783
0.604	8.118
0.605	9.792
0.606	9.120
0.606	8.281
0.608	6.352
0.608	6.519
0.608	7.106
0.608	7.274
0.609	4.059
0.609	4.070
0.609	4.841
0.609	4.841
0.609	5.595
0.609	5.595
0.610	2.492
0.610	2.492
0.610	3.246
0.610	3.246
0.611	1.813
0.611	1.737
0.611	1.066
0.611	1.066
0.616	1.729
0.616	2.423
0.616	1.729
0.616	2.399
0.617	3.069
0.618	3.544
0.619	4.072
0.619	4.240
0.620	4.893
0.620	4.892
0.620	5.579
0.620	5.579
0.620	6.417
0.620	6.417
0.621	7.171
0.621	7.171
0.622	7.923
0.624	8.025
0.626	7.247
0.627	6.574
0.628	5.734
0.629	4.894
0.630	4.145
0.631	3.221
0.631	3.229
0.631	1.791
0.632	2.497
0.632	2.498
0.633	1.536
0.633	1.536
0.633	0.697
0.635	0.560
0.635	-0.394
0.635	1.114
0.636	-0.100
0.636	-0.099
0.636	0.358
0.638	-0.986
0.638	-0.986
0.642	-1.445
0.644	-1.622
0.648	-1.902
0.651	-1.928
0.654	-2.099
0.659	-2.294
0.660	-2.420
0.664	-2.450
0.666	-2.452
0.671	-2.459
0.673	-2.353
0.675	-2.023
0.678	-1.961
0.681	-2.069
0.684	-2.132
0.687	-1.936
0.689	-1.564
0.691	-1.386
0.694	-1.008
0.698	-0.930
0.700	-0.879
0.704	-0.831
0.707	-0.953
0.711	-0.916
0.715	-0.848
0.717	-0.746
0.720	-0.688
0.726	-0.563
0.728	-0.531
0.733	-0.378
0.733	-0.376
0.739	-0.436
0.739	-0.435
0.744	-0.388
0.744	-0.388
0.751	-0.397
0.751	-0.397
0.756	-0.405
0.756	-0.405
0.762	-0.413
0.762	-0.413
0.767	-0.422
0.767	-0.422
0.773	-0.346
0.774	-0.264
0.781	-0.063
0.781	-0.062
0.786	-0.449
0.786	-0.449
0.793	-0.627
0.793	-0.627
0.800	-0.637
0.800	-0.637
0.806	-0.310
0.806	-0.310
0.812	-0.404
0.812	-0.404
0.814	-0.651
0.814	-0.651
0.818	-0.636
0.818	-0.632
0.820	-0.651
0.820	-0.651
0.825	-0.631
0.825	-0.637
0.827	-0.676
0.827	-0.676
0.831	-0.550
0.831	-0.563
0.833	-0.685
0.833	-0.685
0.837	-0.562
0.837	-0.559
0.839	-0.693
0.839	-0.693
0.843	-0.617
0.843	-0.617
0.846	-0.620
0.846	-0.620
0.850	-0.608
0.850	-0.608
0.852	-0.645
0.852	-0.645
0.854	-0.553
0.857	-0.554
0.857	-0.554
0.857	-0.517
0.857	-0.517
0.861	-0.559
0.864	-0.439
0.864	-0.439
0.864	-0.545
0.864	-0.543
0.867	-0.401
0.869	-0.404
0.869	-0.404
0.873	-0.410
0.875	-0.412
0.875	-0.412
0.881	-0.254
0.881	-0.254
0.881	-0.254
0.887	-0.197
0.888	-0.167
0.888	-0.173
0.893	-0.103
0.904	-0.119
0.909	-0.003
0.915	0.032
0.921	0.045
0.927	-0.028
0.934	0.004
0.940	0.163
0.946	0.154
0.952	0.146
0.957	0.137
0.963	0.129
0.971	0.118
0.977	0.276
0.984	0.266
0.990	0.424
0.996	0.418
1.001	1.317
