x	y
0.019	0.511
0.025	0.501
0.032	0.492
0.041	0.479
0.048	0.468
0.055	0.626
0.062	0.616
0.068	0.607
0.074	0.766
0.074	0.641
0.076	0.930
0.080	0.420
0.081	0.587
0.087	0.411
0.087	0.242
0.092	-0.267
0.092	0.047
0.097	-0.443
0.097	-0.085
0.099	0.638
0.099	1.316
0.100	2.153
0.100	3.036
0.101	4.166
0.101	2.991
0.101	5.340
0.101	3.699
0.102	3.139
0.102	3.828
0.102	4.614
0.102	5.312
0.102	6.009
0.102	6.764
0.102	7.519
0.102	8.189
0.103	8.944
0.103	6.092
0.103	10.705
0.103	7.518
0.103	6.763
0.103	8.188
0.103	4.833
0.103	9.894
0.103	6.091
0.103	4.749
0.103	10.848
0.103	6.846
0.104	9.698
0.104	8.933
0.104	11.456
0.104	12.297
0.104	12.968
0.104	13.723
0.105	16.323
0.105	15.651
0.105	16.574
0.105	14.896
0.105	15.147
0.106	15.854
0.106	14.448
0.106	14.224
0.107	12.796
0.108	12.124
0.108	13.550
0.108	10.362
0.108	11.872
0.108	11.033
0.108	11.201
0.108	13.549
0.108	11.704
0.108	12.710
0.109	9.605
0.109	8.850
0.110	8.178
0.110	5.325
0.111	5.996
0.111	7.506
0.111	6.751
0.111	3.815
0.111	4.570
0.112	5.379
0.112	6.162
0.113	0.384
0.113	1.463
0.113	2.302
0.113	2.973
0.115	-0.553
0.115	-0.723
0.115	-0.554
0.117	-0.388
0.117	0.115
0.117	0.115
0.117	0.157
0.118	0.784
0.118	0.784
0.118	0.868
0.118	1.455
0.118	1.455
0.118	1.623
0.119	2.126
0.119	2.272
0.120	2.963
0.120	2.460
0.120	3.634
0.120	3.131
0.120	2.963
0.120	3.634
0.120	3.801
0.120	4.472
0.120	4.472
0.121	5.812
0.122	4.961
0.122	5.141
0.122	5.141
0.122	5.812
0.122	5.795
0.122	7.489
0.123	6.481
0.123	6.453
0.123	7.180
0.123	6.577
0.123	7.152
0.123	7.991
0.123	7.991
0.123	8.242
0.125	9.331
0.125	9.330
0.125	9.330
0.125	8.659
0.126	8.849
0.126	8.658
0.126	9.057
0.127	8.489
0.127	7.817
0.128	7.481
0.128	8.152
0.129	6.796
0.129	7.144
0.129	6.063
0.129	6.332
0.130	5.504
0.130	5.297
0.130	4.625
0.130	4.793
0.131	3.990
0.131	3.869
0.132	3.289
0.132	2.609
0.132	3.112
0.133	2.441
0.133	1.917
0.133	1.198
0.134	1.433
0.134	0.739
0.134	0.495
0.136	0.088
0.136	-0.417
0.138	-0.763
0.139	-1.138
0.140	-1.382
0.143	-1.685
0.146	-1.857
0.149	-2.028
0.152	-2.174
0.156	-2.202
0.160	-2.548
0.161	-2.697
0.166	-3.061
0.166	-3.083
0.171	-2.723
0.171	-2.723
0.172	-1.896
0.174	-1.952
0.174	-1.962
0.178	-1.401
0.179	-1.916
0.181	-1.896
0.181	-1.881
0.185	-2.088
0.188	-1.919
0.191	-1.920
0.193	-1.507
0.195	-1.448
0.200	-1.138
0.201	-1.435
0.205	-1.237
0.207	-1.444
0.211	-1.239
0.214	-1.286
0.216	-0.954
0.220	-1.130
0.222	-0.912
0.226	-0.632
