x	y
0.007	-1.041
0.012	-1.222
0.018	-0.816
0.024	-0.077
0.029	0.496
0.035	0.901
0.041	0.805
0.046	1.210
0.046	1.545
0.052	1.364
0.056	1.521
0.058	1.268
0.062	1.927
0.063	1.924
0.066	2.523
0.069	2.497
0.072	3.008
0.075	2.818
0.080	3.056
0.081	3.333
0.086	3.211
0.088	3.621
0.092	3.616
0.093	3.945
0.097	3.854
0.099	4.116
0.103	3.841
0.107	4.079
0.107	5.504
0.108	4.862
0.108	4.079
0.109	5.501
0.109	4.773
0.109	9.518
0.109	6.186
0.109	6.971
0.109	13.364
0.109	8.724
0.110	6.252
0.110	7.005
0.110	7.842
0.110	8.535
0.110	15.046
0.110	9.431
0.110	10.184
0.111	10.853
0.111	13.028
0.111	10.322
0.111	13.697
0.111	10.951
0.111	11.572
0.111	15.694
0.112	14.346
0.112	12.356
0.112	12.041
0.113	17.294
0.113	16.302
0.113	16.663
0.115	13.679
0.115	14.373
0.115	14.636
0.115	15.324
0.116	16.224
0.116	12.347
0.116	13.184
0.116	12.675
0.116	9.979
0.116	13.937
0.116	11.593
0.116	10.923
0.116	11.132
0.117	10.090
0.117	4.729
0.117	9.164
0.118	4.928
0.118	8.492
0.118	6.986
0.118	7.739
0.118	5.628
0.119	6.315
0.119	2.800
0.119	3.469
0.119	4.213
0.119	2.129
0.120	-0.215
0.120	0.538
0.120	1.207
0.121	-2.393
0.121	-3.063
0.121	-1.724
0.121	-1.055
0.121	-4.905
0.121	-5.431
0.122	-3.902
0.122	-5.268
0.123	-4.750
0.123	-6.286
0.123	-6.135
0.124	-4.578
0.124	-3.909
0.125	-3.230
0.126	-2.490
0.126	-1.821
0.126	-0.901
0.127	-0.112
0.127	0.773
0.127	1.495
0.127	2.362
0.127	3.900
0.127	3.114
0.128	4.620
0.128	5.373
0.128	6.042
0.129	8.133
0.129	6.776
0.129	7.462
0.130	8.967
0.131	10.135
0.134	9.862
0.134	10.771
0.135	8.270
0.135	9.791
0.135	8.943
0.136	8.171
0.136	8.861
0.137	2.841
0.137	3.510
0.137	4.263
0.137	6.774
0.137	5.100
0.137	5.100
0.137	5.100
0.137	5.184
0.137	5.769
0.137	5.769
0.137	5.769
0.137	6.104
0.138	6.438
0.138	6.438
0.138	6.438
0.138	7.610
0.138	2.838
0.138	2.838
0.138	2.838
0.138	3.507
0.138	3.507
0.138	3.507
0.138	4.466
0.139	4.260
0.139	4.260
0.139	4.277
0.139	2.084
0.139	2.084
0.139	2.083
0.139	0.241
0.139	-0.428
0.139	1.078
0.139	1.266
0.139	1.266
0.139	1.266
0.140	1.747
0.140	2.249
0.140	3.002
0.140	0.491
0.140	0.491
0.140	3.671
0.140	-1.839
0.140	0.502
0.140	-0.263
0.140	-0.263
0.140	-1.099
0.140	-1.690
0.140	-1.690
0.140	-2.941
0.140	-6.372
0.140	-0.263
0.140	-0.932
0.140	-0.932
0.140	-2.132
0.140	-1.121
0.140	-2.389
0.140	-2.389
0.140	-2.551
0.141	-3.257
0.141	-3.196
0.141	-3.196
0.141	-5.119
0.141	-4.784
0.141	-4.784
0.141	-4.784
0.141	-4.450
0.141	-3.948
0.141	-3.948
0.141	-3.948
0.141	-3.697
0.142	-5.517
0.142	-5.517
0.142	-5.517
0.142	-6.461
0.142	-6.377
0.142	-6.377
0.142	-6.377
0.142	-7.342
0.142	-5.792
0.143	-7.801
0.143	-7.111
0.143	-7.801
0.143	-7.801
0.143	-7.132
0.143	-7.132
0.143	-9.300
0.143	-8.471
0.143	-8.495
0.143	-8.495
0.143	-10.062
0.144	-10.063
0.144	-10.063
0.144	-9.373
0.144	-9.373
0.144	-10.733
0.144	-10.734
0.144	-10.734
0.145	-12.158
0.145	-14.669
0.145	-12.158
0.145	-12.158
0.145	-11.489
0.145	-11.482
0.145	-11.482
0.146	-12.904
0.146	-12.904
0.146	-12.904
0.146	-16.010
0.146	-13.835
0.146	-15.341
0.146	-13.667
0.146	-13.667
0.146	-14.338
0.146	-14.338
0.147	-14.505
0.148	-15.819
0.148	-15.819
0.148	-15.344
0.148	-15.140
0.148	-15.140
0.148	-14.675
0.148	-13.974
0.148	-16.517
0.148	-16.517
0.148	-16.852
0.148	-16.140
0.149	-17.189
0.149	-17.189
0.149	-15.431
0.149	-17.943
0.149	-17.943
0.149	-18.194
0.150	-17.525
0.150	-18.781
0.150	-18.781
0.150	-19.628
0.150	-19.628
0.150	-19.702
0.150	-19.033
0.151	-20.394
0.151	-20.360
0.151	-20.360
0.151	-21.211
0.151	-21.211
0.151	-21.211
0.152	-22.552
0.152	-22.552
0.152	-22.552
0.152	-21.883
0.152	-21.883
0.152	-21.883
0.152	-23.302
0.152	-23.389
0.152	-23.389
0.152	-24.060
0.153	-24.060
0.153	-24.060
0.153	-27.325
0.153	-27.241
0.154	-24.732
0.154	-24.732
0.154	-25.402
0.154	-24.732
0.154	-25.402
0.154	-25.402
0.154	-26.165
0.154	-26.165
0.154	-26.188
0.155	-27.079
0.155	-27.079
0.155	-26.912
0.156	-27.582
0.156	-28.638
0.156	-28.638
0.156	-27.918
0.156	-27.918
0.156	-28.336
0.156	-29.090
0.157	-29.470
0.157	-29.470
0.157	-30.934
0.157	-30.934
0.157	-30.599
0.157	-30.264
0.157	-30.264
0.158	-29.866
0.158	-31.186
0.158	-31.019
0.158	-31.438
0.159	-31.596
0.159	-31.596
0.160	-32.222
0.161	-32.400
0.161	-32.400
0.163	-33.040
0.163	-33.040
0.164	-32.909
0.164	-32.909
0.164	-32.899
0.167	-32.101
0.167	-32.046
0.167	-32.046
0.167	-31.291
0.167	-31.291
0.167	-31.124
0.169	-30.625
0.169	-30.625
0.169	-30.374
0.169	-29.872
0.169	-29.872
0.169	-29.705
0.169	-29.194
0.169	-29.194
0.170	-28.033
0.170	-28.033
0.170	-28.849
0.170	-28.453
0.170	-28.453
0.170	-28.119
0.171	-27.720
0.171	-27.720
0.171	-27.283
0.171	-27.032
0.171	-27.032
0.172	-26.449
0.172	-26.282
0.172	-26.282
0.172	-25.780
0.173	-24.944
0.173	-24.749
0.173	-24.749
0.174	-25.460
0.174	-25.460
0.174	-23.988
0.174	-23.988
0.174	-24.237
0.174	-23.440
0.174	-23.264
0.174	-23.264
0.175	-21.601
0.175	-21.937
0.176	-22.649
0.176	-21.206
0.176	-20.265
0.176	-19.460
0.177	-18.677
0.177	-18.259
0.178	-18.762
0.178	-17.926
0.179	-17.258
0.180	-16.423
0.180	-15.612
0.181	-13.413
0.181	-14.920
0.182	-14.169
0.183	-13.291
0.183	-12.581
0.183	-11.913
0.184	-10.575
0.184	-9.739
0.184	-9.153
0.185	-11.246
0.185	-9.908
0.185	-9.155
0.186	-7.566
0.186	-8.445
0.187	-6.732
0.188	-6.065
0.188	-5.260
0.189	-4.560
0.189	-3.891
0.189	-4.645
0.190	-3.108
0.191	-2.557
