# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,PropGeom,0,BNRIVEPAOP,0,0,1,6.123233995736766036e-17, 0.000000000000000000e+00, -1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 6.123233995736766036e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,50,25
# x,y,z,u,w
5.019560333931370744e-02, 5.046519378775506937e-01, -7.140048340513330608e-03, 1.081632653061224580e+00, 2.483789085618058612e-01
3.738909566822649216e-02, 5.046519378775506937e-01, -6.688527923012778723e-03, 1.081632653061224580e+00, 4.370901933198670375e-01
1.990836454102813680e-02, 5.046519378775506937e-01, -5.700922098346316094e-03, 1.081632653061224580e+00, 6.949315309392636308e-01
-7.425482379203409734e-04, 5.046519378775506937e-01, -4.064442362705632597e-03, 1.081632653061224580e+00, 1.000000000000000000e+00
-2.135901636480211363e-02, 5.046519378775506937e-01, -2.039992208920799084e-03, 1.081632653061224580e+00, 1.305068469060736591e+00
-3.874418693423839488e-02, 5.046519378775506937e-01, 3.638960979275382846e-05, 1.081632653061224580e+00, 1.562909806680132796e+00
-5.142807425165975971e-02, 5.046519378775506937e-01, 1.859689691516231737e-03, 1.081632653061224580e+00, 1.751621091438194222e+00
-5.971560301257158865e-02, 5.046519378775506937e-01, 3.366592817931939041e-03, 1.081632653061224580e+00, 1.875680585274343448e+00
-6.470903533865861312e-02, 5.046519378775506937e-01, 4.635330277357991614e-03, 1.081632653061224580e+00, 1.951584046726686061e+00
-6.679602367583088729e-02, 5.046519378775506937e-01, 6.581787650315753038e-03, 1.081632653061224580e+00, 2.000000000000000000e+00
